Episode Number,Title,Description,Audio File,Duration,Publish Date,Tags,Type
01,[Episódio 01] Prompt Chaining - Como Encadear Prompts para IA,"🎯 **Sobre este episódio:**  Descubra o poder do Prompt Chaining, um dos padrões mais fundamentais para construir sistemas de IA inteligentes. Explore como quebrar tarefas complexas em sequências de prompts menores e mais gerenciáveis.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Prompt Chaining, Sequential Processing, Workflow Decomposition • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain, LangGraph • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain, LangGraph, Google ADK • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",01-Prompt_Chaining__Como_o_Encadeamento_de_Prompts_e_a_Engenharia_.mp3,00:20:00,2024-01-15,"IA, Agentes, LLM, Prompt Engineering, LangChain, Workflows",main
02,[Episódio 02] Roteamento em IA - O Segredo dos Agentes Inteligentes,"🎯 **Sobre este episódio:**  Explore o padrão de Roteamento, o mecanismo que permite aos agentes de IA tomar decisões dinâmicas e adaptar seu comportamento baseado no contexto.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Conditional Logic, Intent Classification, Dynamic Routing • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangGraph, Google ADK • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangGraph, Google ADK, Embedding Models • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",02-Roteamento_em_IA__O_Segredo_para_Agentes_Inteligentes_que_Decid.mp3,00:19:00,2024-01-16,"IA, Agentes, Roteamento, Classificação, LangGraph, Decision Making",main
03,[Episódio 03] Paralelização em Agentes de IA - Sistemas Mais Rápidos,"🎯 **Sobre este episódio:**  Aprenda como implementar paralelização em agentes de IA para criar sistemas mais rápidos e eficientes, executando múltiplas tarefas simultaneamente.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Parallel Processing, Concurrent Execution, Performance Optimization • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain, AsyncIO • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain, AsyncIO, Concurrent Processing • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",03-Paralelização_em_Agentes_de_IA__O_Segredo_para_Sistemas_Mais_Rá.mp3,00:16:00,2024-01-17,"IA, Agentes, Paralelização, Performance, Async, Concurrency",main
04,[Episódio 04] Reflexão em Agentes de IA - Autoavaliação e Melhoria,"🎯 **Sobre este episódio:**  Descubra como implementar reflexão em agentes de IA, permitindo que eles se autoavaliem e melhorem continuamente seu desempenho.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Self-Reflection, Self-Evaluation, Continuous Improvement • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain, Self-Correction Patterns • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain, Self-Correction Patterns • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",04-Reflexão_em_Agentes_de_IA__Autoavaliação_e_o_Poder_do_Padrão_Pr.mp3,00:19:00,2024-01-18,"IA, Agentes, Reflexão, Autoavaliação, Melhoria Contínua, Self-Correction",main
05,[Episódio 05] Uso de Ferramentas - Como IA Conecta LLMs ao Mundo Real,"🎯 **Sobre este episódio:**  Explore como agentes de IA podem usar ferramentas externas e APIs para interagir com o mundo real, expandindo suas capacidades além do texto.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Function Calling, Tool Integration, API Integration • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain Tools, OpenAI Functions • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain Tools, OpenAI Functions, Google ADK • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",05-Uso_de_Ferramentas_(Function_Calling)__Como_a_IA_Conecta_LLMs_a.mp3,00:17:00,2024-01-19,"IA, Agentes, Function Calling, APIs, Ferramentas, Integração",main
06,[Episódio 06] Planejamento na IA - De Reativo a Estrategista Autônomo,"🎯 **Sobre este episódio:**  Aprenda como implementar planejamento em agentes de IA, transformando-os de ferramentas reativas em estrategistas autônomos capazes de decompor tarefas complexas.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Task Planning, Goal Decomposition, Strategic Thinking • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangGraph, Planning Algorithms • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangGraph, Planning Algorithms, Goal-Oriented Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",06-Planejamento_na_IA__De_Ferramenta_Reativa_a_Estrategista_Autôno.mp3,00:20:00,2024-01-20,"IA, Agentes, Planejamento, Estratégia, Autonomia, Goal Decomposition",main
07,[Episódio 07] Colaboração Multiagente - Equipes de IA Trabalhando Juntas,"🎯 **Sobre este episódio:**  Descubra como criar sistemas multiagente onde diferentes agentes de IA colaboram para resolver problemas complexos de forma coordenada.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Multi-Agent Systems, Agent Coordination, Collaborative AI • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com CrewAI, LangGraph • Melhores práticas de implementação  📚 **Recursos mencionados:** • CrewAI, LangGraph, Multi-Agent Frameworks • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",07-Colaboração_Multiagente_em_IA__Por_Que_e_Como_Juntar_Equipes_de.mp3,00:19:00,2024-01-21,"IA, Agentes, Multiagente, Colaboração, Coordenação, CrewAI",main
08,[Episódio 08] Memória de Agentes de IA - Do Contexto Volátil à Profundidade,"🎯 **Sobre este episódio:**  Explore técnicas avançadas de gerenciamento de memória em agentes de IA, desde contexto volátil até sistemas de memória persistente e estruturada.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Memory Management, Context Persistence, Long-term Memory • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain Memory, Vector Databases • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain Memory, Vector Databases, Memory Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",08-Memória_de_Agentes_de_IA__Do_Contexto_Volátil_à_Profundidade_do.mp3,00:20:00,2024-01-22,"IA, Agentes, Memória, Contexto, Persistência, Vector DB",main
09,"[Episódio 09] Aprendizado e Auto-Evolução - PPO, DPO e Adaptação Contínua","🎯 **Sobre este episódio:**  Aprenda sobre técnicas de aprendizado e adaptação em agentes de IA, incluindo PPO, DPO e outros métodos de auto-evolução.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Reinforcement Learning, PPO, DPO • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com RL Frameworks, Learning Algorithms • Melhores práticas de implementação  📚 **Recursos mencionados:** • RL Frameworks, Learning Algorithms, Adaptation Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/","09-Agentes_de_IA__Do_Aprendizado_à_Auto-Evolução_–_Como_PPO,_DPO_e.mp3",00:23:00,2024-01-23,"IA, Agentes, Aprendizado, PPO, DPO, Reinforcement Learning",main
10,[Episódio 10] MCP - O Adaptador Universal que Transforma LLMs em Agentes,"🎯 **Sobre este episódio:**  Descubra o Model Context Protocol (MCP), o protocolo que permite comunicação padronizada entre LLMs e ferramentas externas.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Model Context Protocol, Standardized Communication, Tool Integration • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com MCP, Protocol Standards • Melhores práticas de implementação  📚 **Recursos mencionados:** • MCP, Protocol Standards, Communication Frameworks • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",10-MCP__O_Adaptador_Universal_que_Transforma_LLMs_em_Agentes_de_IA.mp3,00:19:00,2024-01-24,"IA, Agentes, MCP, Protocolo, Comunicação, Padronização",main
